Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,3/20/2025
KZ RS 4 108 04157,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-2,1400065,991040000313.0,«Kazphosphate» LLP,"Zhamal Omarova St, 8,  Medeu district, Almaty, Kazakhstan",MAP 10:46 IN BULK,3105590000,Y 8%,Республика Казахстан,Serbia,Действующий,25.7.2024,25.07.2025
KZ RS 4 109 02733,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1400312,221240019917.0,LLP «KAZ WOOD EXPORT»,Republic of Kazakhstan city of Almaty Iliyskiy tract 17,"Birch plywood 2500x1250х12 mm, FSF, E0,5, grade 3/4, S2 (polished)   29,712 m3   21936/21216",4412330000,"Y 47,7",Республика Казахстан,Serbia,Действующий,22.7.2024,22.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Molded products, planed 
profiled softwood
from larch, grade CD, humidity 14-18%: 
Straight planken board, Thick. 20 mm, Width 90 mm, L 4 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Terrace board, Thick. 27 mm, Width 142 mm, L 4 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Wooden block (bar), Thick. 30 mm, Width 45 mm, L 2,5 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Wooden block (bar), Thick. 30 mm, Width 45 mm, L 3 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Wooden block (bar), Thick. 30 mm, Width 45 mm, L 2 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, Thick. 27 mm, Width 142 mm, L 4 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 114 02332,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400365,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Terrace board, Thick. 27 mm, Width 142 mm, L 3 m",4409101800,Y39%,Республика Казахстан,Serbia,Действующий,17.7.2024,17.07.2025
KZ RS 4 108 03781,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-2,1400064,991040000313.0,«Kazphosphate» LLP,"Zhamal Omarova St, 8,  Medeu district, Almaty, Kazakhstan",MAP 10:46 IN BULK,3105590000,Y 8%,Республика Казахстан,Serbia,Действующий,10.7.2024,10.07.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Molded products, planed profiled
softwood from larch, grade CD,
humidity 14-18%: 
Beveled planken board, Thick.
21mm, Width 68mm, L 1,5m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
21mm, Width 68mm, L 1,75m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
21mm, Width 68mm, L 2,5m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
21mm, Width 68mm, L 3m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
21mm, Width 68mm, L 2m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 2m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 1,5m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 1,75m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 2,5m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 2,75m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 114 02044,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400364,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Beveled planken board, Thick.
20mm, Width 90mm, L 3m",4409101800,Y38%,Республика Казахстан,Serbia,Действующий,24.6.2024,24.06.2025
KZ RS 4 106 01776,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000918,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7.
Code as per 3902100000",3902100000,"Y 39,31% ",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01774,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000917,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01778,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000919,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y 39,31%",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01779,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000920,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01780,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000921,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7.
Code as per 3902100000",3902100000,"Y39,31% ",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01783,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000922,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,21.6.2024,21.06.2025
KZ RS 4 106 01750,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000915,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,20.6.2024,20.06.2025
KZ RS 4 106 01751,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000916,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,20.6.2024,20.06.2025
KZ RS 4 111 02694,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-2,1400358,120440003348.0,«SMART TRADE» LIMITED LIABILITY PARTNERSHIP,"Kostanay, Uzkokoleinnaya, street 9",Buckwheat,1008100009,P,Республика Казахстан,Serbia,Действующий,19.6.2024,19.06.2025
KZ RS 4 106 01742,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000912,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,19.6.2024,19.06.2025
KZ RS 4 106 01743,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000913,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н270 FF /7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,19.6.2024,19.06.2025
KZ RS 4 106 01744,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000914,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,19.6.2024,19.06.2025
KZ RS 4 114 01978,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400362,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Molded products, planed profiled 
softwood from larch, grade CD, 
humidity 14-18%:
Deck board, thickness 28 mm, 
width 120 mm, L 4 m",4409101800,Y40%,Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 114 01978,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400362,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, thickness 28 mm, 
width 120 mm, L 2 m",4409101800,Y40%,Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 114 01980,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400363,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Molded products, planed profiled 
softwood from larch, grade CD, 
humidity 14-18%:
Straight planken board, thickness
 20 mm, width 90 mm, L 3 m",4409101800,Y40%,Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 114 01980,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400363,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, thickness 
20 mm, width 90 mm, L 4 m",4409101800,Y40%,Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01738,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000910,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н270FF/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01724,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000904,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01727,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000905,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н270 FF/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01732,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000906,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01733,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000907,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01734,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000908,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000",Polypropylene РР Н030 GP/7. Code as per 3902100000,3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01735,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000909,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01739,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000911,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,18.6.2024,18.06.2025
KZ RS 4 106 01711,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000900,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,17.6.2024,17.06.2025
KZ RS 4 106 01713,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000901,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,17.6.2024,17.06.2025
KZ RS 4 106 01715,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000902,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,17.6.2024,17.06.2025
KZ RS 4 106 01718,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000903,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,17.6.2024,17.06.2025
KZ RS 4 106 01708,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000899,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н270 FF/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,14.6.2024,14.06.2025
KZ RS 4 106 01706,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000898,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н270 FF/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,14.6.2024,14.06.2025
KZ RS 4 106 01701,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000897,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01694,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000895,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01695,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000896,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01693,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000894,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01692,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000893,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01691,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000892,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,13.6.2024,13.06.2025
KZ RS 4 106 01660,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000889,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,12.6.2024,12.06.2025
KZ RS 4 106 01672,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000890,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,12.6.2024,12.06.2025
KZ RS 4 106 01675,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000891,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,12.6.2024,12.06.2025
KZ RS 4 109 02008,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1400165,221240039971.0,"ТОО ""PACKAGING SYSTEMS ""","Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09  “BASIC ” (order № 4/2024)	
Net weight/Gross weight  
19057,50/	21037,50kg



",6305321900,"Y48,79",Республика Казахстан,Serbia,Действующий,4.6.2024,04.06.2025
KZ RS 4 106 01532,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000886,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,31.5.2024,31.05.2025
KZ RS 4 106 01533,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000887,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7.
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,31.5.2024,31.05.2025
KZ RS 4 106 01535,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000888,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,31.5.2024,31.05.2025
KZ RS 4 106 01523,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000879,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
KZ RS 4 106 01521,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000880,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
KZ RS 4 106 01519,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000883,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
KZ RS 4 106 01522,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000884,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
KZ RS 4 106 01524,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000885,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7. 
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
KZ RS 4 106 01525,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000881,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene РР Н030 GP/7.
Code as per 3902100000",3902100000,"Y39,31%",Республика Казахстан,Serbia,Действующий,30.5.2024,30.05.2025
