Регистрационный номер индустриального сертификата,БИН/ИИН,"Наименование производителей товаров, работ, услуг","Вид деятельности согласно ОКЭД (перв, вторич.)",Регион согласно КАТО,Юридический адрес,Почтовый (фактический) адрес,Почтовый (фактический) адрес материально-технической базы,Телефон,Электронный адрес,Web - сайт,"Наименование товаров (категория), работ, услуг","Производственная мощность, кол-во единиц в год",ТН ВЭД ЕАЭС,КП ВЭД,Номер документа об оценке соотвествия,Дата выдачи документа об оценке соотвествия,Дата окончания документа об оценке соотвествия,Номер и дата лицензии или разрешения,Количество сотрудников,Дата включения в Реестр,Дата внесения изменений и/или дополнений,"Дата проведения актуализации сведений, указанных в Реестре"
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф для одежды 1 категория,445,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф секционный для канцелярии 1 категория,367,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф для учебно-наглядных пособий 1 категория,493,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф для формуляров 1 категория,500,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф для учительской 1 категория,200,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф под файлы 1 категория,204,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стеллаж 2х сторонний для книг 1 категория,338,9403309900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стеллаж пристенный для книг 1 категория,418,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол рабочий 1 категория,515,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Кровать детская 1 категория,263,9403500001,31.09.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Шкаф для одежды 1 категория,157,9403309100,31.09.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Шкаф для полотенец 1 категория,244,9403309100,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Шкаф для инвентаря 1 категория,413,9403309100,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Стеллаж для игрушек 1 категория,204,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Стеллаж для книг и настольных игр 1 категория,157,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Полка настенная для поделок 1 категория,189,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Стеллаж 2х секционный 1 категория,215,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Тумба для обуви 1 категория,417,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Стол обеденный 1 категория,513,9403601009,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Стол письменный 1 категория,446,9403301100,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,Уголок для спортивного инвентаря 1 категория,143,9403309900,31.01.12,KZ.5910317.22.01.00041,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги частных сетей по предоставлению линий телекоммуникационных проводных,19 договоров,-,61.10.13,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги по передаче данных по сетям телекоммуникационным проводным,19 договоров,-,61.10.30,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги по передаче данных по сетям телекоммуникационным беспроводным,19 договоров,-,61.20.30,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги телекоммуникационные беспроводные через Интернет прочие,19 договоров,-,61.20.49,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги телекоммуникационные прочие,19 договоров,-,61.90.10,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги консультационные по техническому обеспечению,49 договоров,-,62.02.10,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги консультационные по программному обеспечению,49 договоров,-,62.02.20,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги по технической поддержке информационных технологий,49 договоров,-,62.02.30,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги по установке компьютеров и периферийного оборудования,49 договоров,-,62.09.10,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Содержание веб порталов,49 договоров,-,63.12.10,-,-,-,-,129,2020.10.23,-,2021.12.13
101 0 00085,60640009560,ТОО «KAP Technology»,61109,435230100,"Кызылординская область, Шиелийский район, поселок Шиели, Микрорайон Кокшокы, улица Шахмардан Есенов, дом №9","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","г. Нур-Султан, ул. Е 10, д. 17/12, 6 этаж.","8 (7172) 45 97 05,  +77055982732",rrabbaniyeva@kaptechnology.kazatomprom.kz,http://www.kaptechnology.kazatomprom.kz/ru,Услуги по ремонту компьютеров и периферийного оборудования,49 договоров,-,95.11.10,-,-,-,-,129,2020.10.23,-,2021.12.13
106 0 00012,170840006576,"ТОО ""Best Module"" (Бест Модуль)",25111,41201,"Республика Казахстан, город Атырау, микрорайон Сарыарка, дом 38, квартира. 2.","Республика Казахстан, город Атырау, Северная промзона, строение 23","Республика Казахстан, город Атырау, Северная промзона, строение 23",77017776128,contact@bestmodule.kz,www.bestmodule.kz,"Здания сборно-разборные, модульного и контейнерного типа, т.м. ""Best Module"" (Бест Модуль)
- 1 категория",120,9406909009,25.11.10,Сертификат соответствия №KZ.7100749.01.01.00667,2020.10.07,2021.10.07,-,10,2020.11.18,-,2023.01.30
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по модификации программного обеспечения,10,-,62.01.11,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Работы по созданию (разработке) информационной системы,10,-,62.01.11,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по миграции программного обеспечения,10,-,62.01.11,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по интегрированию программного обеспечения,10,-,62.01.11,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Работы по проектированию/разработке/внедрению/установке автоматизированной системы,1,-,62.01.12,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по администрированию и техническому обслуживанию программного обеспечения,10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по администрированию и техническому обслуживанию программно-аппаратного комплекса,10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по установке/настройке программного обеспечения,10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по обработке и преобразованию графических и текстовых данных,10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,"Услуги по внедрению, конвертации данных",10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,"Услуги по восстановлению программного обеспечения/информационной системы в случае аварии (поломки, сбоя)",10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,"Услуги по пользованию программными продуктами, находящимся в удаленном доступе",10,-,62.09.20,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по тестированию информационных технологий,10,-,62.02.30,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по сопровождению и технической поддержке информационной системы,10,-,62.02.30,-,-,-,-,21,2020.12.09,-,-
101 0 00078,131040011579,"ТОО ""iTeam Solutions""",62011,711110000,"Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, ул. Иманбаевой, 5 А, пом.1, оф.306","Нур-Султан, район Есиль, ул. Хусейн бен Талал, дом № 27",77779548685,tooiteam2014@gmail.com,отсутствует,Услуги по технической поддержке сайтов,15,-,62.02.30,-,-,-,-,21,2020.12.09,-,-
