Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,28.03.2025
KZ VN 1 110 12340,Палата предпринимателей Карагандинской области,«EAV»,1600591,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL
SHEETS-OVERROLLING


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,09.11.2022
KZ VN 1 104 02316,Региональная палата предпринимателей Актюбинской области,«EAV»,1800152,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,25.11.2021,10.11.2022
KZ VN 1 110 10686,Палата предпринимателей Карагандинской области,«EAV»,1600573,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE(mm)

 0.50       1250        coil
 0.60       1250        coil
 1.00       1250        coil
 1.20       1250        coil
 1.50       1250        coil

HS CODE: 720916
                   720917             ",7209179001,PSR 7209,Республика Казахстан,Вьетнам,Истек срок действия сертификата,18.11.2021,18.11.2022
KZ VN 1 110 09890,Палата предпринимателей Карагандинской области,«EAV»,1600567,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME COLD ROLLED 
STEEL COILS 

SIZE (mm)        CRADE
 1.18  1250  coil   SPCC
 

HS CODE: 7209
            ","7208390000, 7208370000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09891,Палата предпринимателей Карагандинской области,«EAV»,1600568,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME COLD ROLLED 
STEEL COILS 

SIZE (mm)          
 0.70        1000    coil
 0.78        1000    coil
 0.88        1000    coil
 1.08        1000    coil
 0.70        1250    coil
 0.78        1250    coil
 0.88        1250    coil
 1.08        1250    coil
 1.35        1250    coil
 1.45        1250    coil

HS CODE: 7209.16
                   7209.17
            ","7208390000, 7208370000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09887,Палата предпринимателей Карагандинской области,«EAV»,1600566,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE(mm)

 0.50       1250        coil
 0.60       1250        coil
 1.00       1250        coil
 1.20       1250        coil
 1.50       1250        coil

HS CODE: 720916
                   720917             ",7208390000,PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09893,Палата предпринимателей Карагандинской области,«EAV»,1600569,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL COILS 
CHEQUERED COILD

SIZE (mm)

 3.00       1250     coil
 4.00       1500     coil
 4.80       1500     coil
 5.80       1500     coil
 7.80       1500     coil

HS CODE: 7208.37
                   7208.38","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09895,Палата предпринимателей Карагандинской области,«EAV»,1600570,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL 
CHEQUERED COILD

SIZE (mm)

 4.00       1500     coil
 4.90       1500     coil
 5.90       1500     coil

HS CODE: 7208","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09898,Палата предпринимателей Карагандинской области,«EAV»,1600571,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL 
CHEQUERED COILD

SIZE (mm)

 3.00       1250     coil
 4.00       1500     coil
 4.80       1500     coil
 5.80       1500     coil
 7.80       1500     coil

HS CODE: 7208","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09902,Палата предпринимателей Карагандинской области,«EAV»,1600572,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
CHEQUERED COILS 

SIZE(mm)

 3.00       1250        coil
 3.80       1250        coil
 4.80       1500        coil
 

HS CODE: 7208.10
                   ",7208390000,PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,29.10.2021,29.10.2022
KZ VN 1 110 09864,Палата предпринимателей Карагандинской области,«EAV»,1600561,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

SIZE

 2.00       1250     coil
 2.30       1250     coil
 2.80       1250     coil
 4.00       1250     coil

HS CODE: 7208,38
                   7208,39","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 110 09865,Палата предпринимателей Карагандинской области,«EAV»,1600562,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

SIZE

 4.80       1500     coil
 5.80       1500     coil
 7.80       1500     coil
 9.80       1500     coil
 11.80     1500     coil

HS CODE: 7208,36
                   7208,37","7208370000, 7208360000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 110 09866,Палата предпринимателей Карагандинской области,«EAV»,1600563,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

SIZE

 2.00       1250     coil
 4.80       1500     coil
 5.80       1500     coil
 7.80       1500     coil
 9.80       1500     coil

HS CODE: 7208,37
                   7208,39","7208390000, 7208370000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 110 09863,Палата предпринимателей Карагандинской области,«EAV»,1600560,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1250   coil


HS CODE: 7208,39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 110 09868,Палата предпринимателей Карагандинской области,«EAV»,1600564,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

SIZE
 2.00       1250   coil SS400
 2.45       1200   coil SS400
 4.00       1380   coil SS400
 4.90       1380   сoil SS400
 5.90       1380   coil SS400
 7.05       1380   coil SS400
 2.00       1250   coil SPHC
 3.95       1250   coil SPHC
 2.25    1250   coil SAE 1006
 2.45    1250   coil SAE 1006
HS CODE: 7208
            ","7208390000, 7208370000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 110 09869,Палата предпринимателей Карагандинской области,«EAV»,1600565,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

SIZE
 4.80        1500     coil 
 5.80        1500     coil 
 7.80        1500     coil 
 9.80        1500     сoil 
 11.80       1500    coil 


HS CODE: 720837
                   720836
            ","7208370000, 7208360000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.10.2021,28.10.2022
KZ VN 1 105 05484,Региональная палата предпринимателей Алматинской области,«EAV»,1600082,941240002685.0,Firma Karatal LLP,"Almaty region, Taldykorgan, st. Aldabergenova 86A, apt. 17",Dry Artemia cysts,511919090,,Russian Federation,Viet Nam,Истек срок действия сертификата,16.09.2021,16.09.2022
KZ VN 1 104 01827,Региональная палата предпринимателей Актюбинской области,«EAV»,1700545,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,08.09.2021,08.09.2022
KZ VN 1 104 01208,Региональная палата предпринимателей Актюбинской области,«EAV»,1700544,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,PE,Республика Казахстан,Viet Nam,Истек срок действия сертификата,09.06.2021,09.06.2022
KZ VN 1 110 04841,Палата предпринимателей Карагандинской области,«EAV»,1600559,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1230        coil
 2.30       1212        coil
 2.30       1230        coil
 2.50       1212        coil
 2.50       1230        coil




HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.04.2021,30.04.2022
KZ VN 1 110 04840,Палата предпринимателей Карагандинской области,«EAV»,1600558,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL COILS 

SIZE

 2.00       1215        coil
 2.30       1040        coil
 2.30       1070        coil
 2.30       1200        coil
 2.30       1230        coil
 2.30       1260        coil
 3.70       1040        coil
 3.70       1070        coil
 3.70       1100        coil
 3.70       1150        coil
 3.70       1200        coil
 3.70       1230        coil
 3.70       1260        coil

HS CODE: 720839/720838
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.04.2021,30.04.2022
KZ VN 1 110 04270,Региональная палата предпринимателей Карагандинской области,«EAV»,1700351,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Oktyabr’skiy district, uchetnyi kvartal 018, building 338","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,20.04.2021,20.04.2022
KZ VN 1 110 03725,Палата предпринимателей Карагандинской области,«EAV»,1600557,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1215      coil
 2.30       1200      coil




HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.04.2021,01.04.2022
KZ VN 1 110 03724,Палата предпринимателей Карагандинской области,«EAV»,1600556,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 

SIZE

 2.00       1230        coil
 2.30       1212        coil
 2.30       1230        coil
 2.50       1212        coil
 2.50       1230        coil
 2.80       1230        coil



HS CODE: 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.04.2021,01.04.2022
KZ VN 1 110 03608,Палата предпринимателей Карагандинской области,«EAV»,1600553,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL COILS-SECONDARY

SIZE

1.20-16.00    450-1550  coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03610,Палата предпринимателей Карагандинской области,«EAV»,1600554,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1550   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03606,Палата предпринимателей Карагандинской области,«EAV»,1600552,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED COILS -
SECONDARY

SIZE (mm)

1.20-16.00   450-1550     coil
   
CODE: 7208.10
",7208100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03611,Палата предпринимателей Карагандинской области,«EAV»,1600555,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-WASTE-WASTE

SIZE(mm)

1.2-16.0   450-1550   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,30.03.2021,30.03.2022
KZ VN 1 110 03344,Палата предпринимателей Карагандинской области,«EAV»,1600546,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS- OVERROLLING

SIZE

1.50-3.90   800-1500    coil
4.00-14.00   800-1500  coil
   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03347,Палата предпринимателей Карагандинской области,«EAV»,1600549,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-WASTE-WASTE

SIZE(mm)

1.2-16.0   450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03348,Палата предпринимателей Карагандинской области,«EAV»,1600550,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED CHEQUERED  
SHEETS-SECONDARY

SIZE(mm)

1.50-3.90  800-1500   
1800-6000
4.00-14.00  800-1500
1800-6000
   
HS CODE: 7208.54
                   7208.53
                   7208.52
                   7208.51
",7208400000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03343,Палата предпринимателей Карагандинской области,«EAV»,1600545,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED CHEQUERED COILS - SECONDARY

SIZE

1.20-16.00   450-1500     coil
   
CODE: 7208.10
",7208100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03345,Палата предпринимателей Карагандинской области,«EAV»,1600547,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03346,Палата предпринимателей Карагандинской области,«EAV»,1600548,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
COILS-OVERROLLING

SIZE

1.20-16.00    450-1500   coil

   
HS CODE: 7208.39
                   7208.38
                   7208.37
                   7208.36
","7208390000, 7208380000",PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 110 03350,Палата предпринимателей Карагандинской области,«EAV»,1600551,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL 
SHEETS-SECONDARY

SIZE(mm)

1.50-3.90   800-1500 
1800-6000

   
HS CODE: 7208.54
                   7208.53",7208540000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.03.2021,25.03.2022
KZ VN 1 104 00235,Региональная палата предпринимателей Актюбинской области,«EAV»,1700543,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,РЕ,Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.02.2021,15.02.2022
KZ VN 1 110 01124,Региональная палата предпринимателей Карагандинской области,«EAV»,1700348,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Oktyabr’skiy district, uchetnyi kvartal 018, building 338","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,27.01.2021,27.01.2022
KZ VN 1 110 01128,Региональная палата предпринимателей Карагандинской области,«EAV»,1700347,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Oktyabr’skiy district, uchetnyi kvartal 018, building 338","Ferrosilicon 72
Fraction 10-50 mm
HS code 7202.21",7202210000,P,Республика Казахстан,Viet Nam,Истек срок действия сертификата,27.01.2021,27.01.2022
KZ VN 0 110 12594,Палата предпринимателей Карагандинской области,«EAV»,1600544,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL COILS 
SIZE(mm)
2.30  1230  coil
2.50  1130  coil
2.50  1212  coil
2.50  1230  coil
2.80  1230  coil
2.80  1240  coil
3.20  1212  coil
3.20  1230  coil
3.20  1260  coil
3.50  1212  coil
3.50  1260  coil
3.80  1230  coil
HS CODE: 7208.38
AND 7208.39
             ",7208390000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.12.2020,28.12.2021
